,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Khandagiri,20.2597,85.7899,DTDC Courier Service.,20.25990867614746,85.7879867553711,Moving Target
1,Khandagiri,20.2597,85.7899,The World,20.259768134855893,85.78874010664414,Department Store
2,Khandagiri,20.2597,85.7899,Axis Bank ATM,20.25927925,85.78682709,ATM
3,Patia Gds,20.2597,85.7899,DTDC Courier Service.,20.25990867614746,85.7879867553711,Moving Target
4,Patia Gds,20.2597,85.7899,The World,20.259768134855893,85.78874010664414,Department Store
5,Patia Gds,20.2597,85.7899,Axis Bank ATM,20.25927925,85.78682709,ATM
